BGSIT Mandya - BGS Institute of Technology
VCET Puttur - Vivekananda College of Engineering and Technology
"Bearys Institute of Technology, Mangalore"
"Navodaya Institute of Technology, Raichur"
KLECET Chikodi - KLE College of Engineering and Technology
"Alpha College of Engineering, Bangalore"
"BTL Institute of Technology and Management, Bangalore"
BKIT Bhalki - Bheemanna Khandre Institute of Technology
SDIT Mangalore - Shree Devi Institute of Technology
"Tontadarya College of Engineering, Gadag"
APS Bangalore - APS College of Engineering
MMCT Mangalore - Mangalore Marine College and Technology
"Cambridge Institute of Technology, North Campus, Bangalore"
"T John Institute of Technology, Bangalore"
"Godutai Engineering College for Women, Kalaburagi"
AIEMS Bangalore - Amruta Institute of Engineering and Management Sciences
"Smt Kamala and Sri Venkappa M Agadi College of Engineering and Technology, Gadag"
"SJM Institute of Technology, Chitradurga"
"RTE Society's Rural Engineering College, Hulkoti"
"Rajeev Institute of Technology, Hassan"
"VSM's Institute of Technology, Belgaum"
SIET Bijapur - SECAB Institute of Engineering and Technology
"Moodlakatte Institute of Technology, Kundapura"
ICEAS Bangalore - Impact College of Engineering and Applied Sciences
"Ghousia College of Engineering, Ramanagara"
KIT Tiptur - Kalpataru Institute of Technology
PDIT Hospet - Proudadevaraya Institute of Technology
"Srinivas School of Engineering, Mangalore"
"Bahubali College of Engineering, Hassan"
"AGM Rural College of Engineering and Technology, Hubli"
