"SJPN Trust's Hirasugar Institute of Technology, Belgaum"
"Biluru Gurubasava Mahaswamiji Institute of Technology, Mudhol"
"Coorg Institute of Technology, Kodagu"
"Sri Revana Siddeshwara Institute of Technology, Bangalore"
HMSIT Tumkur - HMS Institute of Technology
"Mysuru Royal Institute of Technology, Mandya"
"Sri Taralbalu Jagadguru Institute of Technology, Haveri"
"Veerappa Nisty Engineering College, Shorapur"
"Sha-Shib College of Engineering, Chikkaballapur"
GSIT Karwar - Girijabai Sail Institute of Technology
"Basavakalyan Engineering College, Bidar"
"Sampoorna Institute of Technology and Research, Bangalore"
"Achutha Institute of Technology, Chikkaballapur"
"Shetty Institute of Technology, Gulbarga"
MMEC Belgaum - Maratha Mandal Engineering College
"NDRK Institute of Technology, Hassan"
AITM Bhatkal - Anjuman Institute of Technology and Management
"Jnana Vikas Institute of Technology, Bangalore"
GMIT Mandya - G Madegowda Institute of Technology
"KVG College of Engineering, Sullia"
"KCT Engineering College, Gulbarga"
"HKE Society's SLN College of Engineering, Raichur"
"Lingarajappa Engineering College, Bidar"
"Sri Basaveshwara Institute of Technology, Tiptur"
"PNS Institute of Technology, Bangalore"
IIT Bangalore - Islamiah Institute of Technology
"Nadgir Institute of Engineering and Technology, Bangalore"
CIT Mandya - Cauvery Institute of Technology
"Yellamma Dasappa Institute of Technology, Bangalore"
"C Byregowda Institute of Technology, Kolar"
