"Laxman Devram Sonawane College, Kalyan"
"Janseva Shikshan Mandal's Shantarambhau Gholap Arts, Science and Gotirambhau Pawar Commerce College, Shivle"
"Abhinav Education Society's College of Computer Science and Management, Pune"
"Vasantrao Naik Mahavidyalaya, Aurangabad"
"Sir Sayyed College of Arts, Commerce and Science, Aurangabad"
"Shree HVP Mandal's Degree of Physical Education, Amravati"
"Smt Kamaladevi Gauridutt Mittal College of Arts and Commerce, Mumbai"
SCCT Navi Mumbai - Sanpada College of Commerce and Technology
VCACS Pune - Vishwakarma College of Arts Commerce and Science
"VPM's Ramniklal Z Shah College of Arts, Science and Commerce, Mumbai"
"Leelawati College of Commerce and Computer Studies, Pune"
"Navnirman College of Arts Commerce and Science, Ratnagiri"
"Mumbai College of Arts, Commerce and Science, Mumbai"
"Kapol College, Mumbai"
"Vidyadhan College, Aurangabad"
"Terna Mahavidyalaya, Osmanabad"
"Mahatma Gandhi Missions College of Computer Science and Information Technology, Nanded"
"Jijamata College of Science and Arts, Bhende"
"Samyak Sankalpa College of Arts Commerce and Science, Thane"
"GKS College of Arts Commerce and Science, Kalyan"
"Milliya Arts Science and Management Science College, Beed"
"Tukaram Baburao Kadam College of Arts Science and Commerce, Ratnagiri"
"Dnyanopasak Shikshan Mandal's College of Arts, Commerce and Science, Parbhani"
"Advanced Computer College, Osmanabad"
"Pratishthan Arts Science and Commerce Mahavidyalaya, Aurangabad"
"Audyogik Tantra Shikshan Sanstha's College of Business Studies And Computer Applications, Pune"
"Raosaheb Gogate College of Commerce and Smt Saraswatibai Ganshet Walke College of Arts, Sindhudurg"
"Annasaheb Waghire Arts Commerce and Science College, Pune"
"Tikaram Jagannath College of Arts Commerce and Science, Pune"
"Vinayakrao Patil Mahavidyalaya, Aurangabad"
