"Fergusson College, Pune"
RUIA College - Ramnarain Ruia College
SP College Pune - Sir Parashurambhau College
"Dr DY Patil Arts Commerce and Science College, Pune"
"MES Abasaheb Garware College, Pune"
"Nowrosjee Wadia College, Pune"
"Viva College, Virar"
BK Birla college Kalyan - BK Birla College of Arts Science and Commerce
KBP College Vashi - Karmaveer Bhaurao Patil College
"Nagindas Khandwala College, Mumbai"
KC College Mumbai - Kishinchand Chellaram College
Khalsa College Mumbai - Guru Nanak Khalsa College of Arts Science and Commerce
"Gokhale Education Society's HPT Arts and RYK Science College, Nashik"
R J College Mumbai - Ramniranjan Jhunjhunwala College
New Arts College Ahmednagar - AJMVP New Arts Commerce and Science College
ICCS Pune - Indira College of Commerce and Science
KTHM College Nashik - KRT Arts BH Commerce and AM Science College
Kirti College - Kirti M Doongursee College of Arts Science and Commerce
"KC College of Arts, Commerce and Science, Mumbai"
"Modern College of Arts, Science and Commerce, Ganeshkhind, Pune"
"Pillai College of Arts, Commerce and Science, New Panvel"
"BNN College, Bhiwandi"
CHM Ulhasnagar - Smt Chandibai Himathmal Mansukhani College
"SIES College of Arts Science and Commerce, Mumbai"
"Kamla Nehru Mahavidyalaya, Nagpur"
"Model College, Dombivli"
"Thakur College of Science and Commerce, Mumbai"
"Deogiri College, Aurangabad"
"Satish Pradhan Dnyanasadhana College, Thane"
Shahu College Latur - Rajarshi Shahu College
"D G Ruparel College of Arts Science and Commerce, Mumbai"
"Jeevandeep Shaikshnik Santha Arts Commerce and Science College, Goveli"
"St Mira's College for Girls, Pune"
"Vande Mataram Degree College, Dombivli"
"Yeshwant Mahavidyalaya, Nanded"
"Vidya Pratishthan's Arts Science and Commerce College, Pune"
"Sant Rawool Maharaj Mahavidyalaya, Kudal"
"Changu Kana Thakur Arts, Commerce and Science College, New Panvel"
"Annasaheb Magar College, Pune"
"Prof Ramkrishna More Arts Commerce and Science College, Pune"
Vivekanand College Aurangabad - Vivekanand Arts Sardar Dalip Singh Commerce and Science College
SHIRUR Pune - Chandmal Tarachand Bora College
"Royal College of Arts Science and Commerce, Thane"
"Kaveri College of Arts Science and Commerce, Pune"
"Yashwantrao Mohite College of Arts Science and Commerce, Pune"
PVP College Ahmednagar - Padmashri Vikhe Patil College of Arts Science and Commerce
"Rizvi College of Arts Science and Commerce, Bandra"
PCCCS Pune - Pratibha College of Commerce and Computer Studies
"Karmaveer Bhaurao Patil Mahavidyalaya, Pandharpur"
R. D. National College - Rishi Dayaram and Seth Hassaram National College and Seth Wassiamull Assomull Science College
"Sir Sitaram and Lady Shantabai Patkar College of Arts and Science and VP Varde College of Commerce and Economics, Mumbai"
"Christ College, Pune"
"Mahatma Gandhi Vidyamandir's Maharaja Sayajirao Gaikwad Arts Science and Commerce College, Malegaon"
"Poona College of Arts Science and Commerce, Pune"
"Vivekanand Education Society's College of Arts, Science and Commerce, Mumbai"
"Shri SH Kelkar College of Arts Commerce and Science, Devgad"
"Vivekanand College, Kolhapur"
"KM Agrawal College of Arts Commerce and Science, Kalyan"
"Vikas College of Arts Science and Commerce, Mumbai"
"Shivchhatrapati College, Aurangabad"
"Haribhai V Desai College of Commerce Arts and Science, Pune"
"DBF Dayanand College of Arts and Science, Solapur"
"S K Somaiya Degree College Of Arts, Science and Commerce, Mumbai"
"Saket College of Arts Science and Commerce, Mumbai"
"Dayanand Science College, Latur"
"MAEER's Arts Commerce and Science College, Pune"
"Pillai HOC College of Arts Science and Commerce, Raigad"
"Balbhim Art's Science and Commerce College, Beed"
"Sangola College, Sangola"
"V K Krishna Menon College of Commerce and Economics and Sharad Shankar Dighe College of Science, Mumbai"
"Kankavli College, Kankavli"
"Dattajirao Kadam Arts Science and Commerce College, Ichalkaranji"
"Arihant College of Arts Commerce and Science, Pune"
"SBB Alias Appasaheb Jedhe Arts Commerce and Science College, Pune"
"MCE Society's Abeda Inamdar Senior College of Arts Science and Commerce, Pune"
"The New College, Kolhapur"
"Shri Chhatrapati Shivaji Mahavidyalaya, Ahmednagar"
"Lords Universal College, Mumbai"
"Sanskar Mandir's Arts and Commerce College, Pune"
"Hutatma Rajguru Mahavidyalaya, Pune"
"Shree Siddhivinayak Mahila Mahavidyalaya, Pune"
"Shri GPM Degree College, Mumbai"
"ASM's College of Commerce Science and Information Technology, Pune"
"Dr Arvind B Telang Senior College of Arts Science and Commerce, Pune"
"RB Narayanrao Borawake College, Ahmednagar"
"Yogeshwari Mahavidyalaya, Ambajogai"
"S K College of Science and Commerce, Navi Mumbai"
MMCC Pune - Marathwada Mitra Mandal's College of Commerce
"MS College of Arts Science Commerce and BMS, Thane"
"Mahatma Gandhi Vidyamandirs Panchvati College of  Management and Computer Science, Panchvati"
"Laxman Devram Sonawane College, Kalyan"
"Janseva Shikshan Mandal's Shantarambhau Gholap Arts, Science and Gotirambhau Pawar Commerce College, Shivle"
"Abhinav Education Society's College of Computer Science and Management, Pune"
"Vasantrao Naik Mahavidyalaya, Aurangabad"
"Sir Sayyed College of Arts, Commerce and Science, Aurangabad"
"Shree HVP Mandal's Degree of Physical Education, Amravati"
"Smt Kamaladevi Gauridutt Mittal College of Arts and Commerce, Mumbai"
SCCT Navi Mumbai - Sanpada College of Commerce and Technology
VCACS Pune - Vishwakarma College of Arts Commerce and Science
"VPM's Ramniklal Z Shah College of Arts, Science and Commerce, Mumbai"
"Leelawati College of Commerce and Computer Studies, Pune"
"Navnirman College of Arts Commerce and Science, Ratnagiri"
"Mumbai College of Arts, Commerce and Science, Mumbai"
"Kapol College, Mumbai"
"Vidyadhan College, Aurangabad"
"Terna Mahavidyalaya, Osmanabad"
"Mahatma Gandhi Missions College of Computer Science and Information Technology, Nanded"
"Jijamata College of Science and Arts, Bhende"
"Samyak Sankalpa College of Arts Commerce and Science, Thane"
"GKS College of Arts Commerce and Science, Kalyan"
"Milliya Arts Science and Management Science College, Beed"
"Tukaram Baburao Kadam College of Arts Science and Commerce, Ratnagiri"
"Dnyanopasak Shikshan Mandal's College of Arts, Commerce and Science, Parbhani"
"Advanced Computer College, Osmanabad"
"Pratishthan Arts Science and Commerce Mahavidyalaya, Aurangabad"
"Audyogik Tantra Shikshan Sanstha's College of Business Studies And Computer Applications, Pune"
"Raosaheb Gogate College of Commerce and Smt Saraswatibai Ganshet Walke College of Arts, Sindhudurg"
"Annasaheb Waghire Arts Commerce and Science College, Pune"
"Tikaram Jagannath College of Arts Commerce and Science, Pune"
"Vinayakrao Patil Mahavidyalaya, Aurangabad"
"Indraraj Arts Commerce and Science College, Aurangabad"
MCSC Pune - Maharashtra College of Science and Commerce
"NSSR's Vasantdada Patil Arts, Commerce and Science College, Patoda"
"Apex IT College, Beed"
"Metropolitan Institute of Technology and Management, Sindhudurg"
"Vidya Pratishthan Commerce and Science College, Pune"
"Shri Shivaji Mahavidyalaya, Osmanabad"
"Shriram Institute of Information Technology, Paniv"
