"Shree Santkrupa Institute of Engineering and Technology, Satara"
BELHE Pune - Samarth Group of Institutions
"Priyadarshini JL College of Engineering, Nagpur"
"Adsul's Technical Campus, Ahmednagar"
"Phaltan Education Society's College of Engineering, Satara"
RMCET Ratnagiri - Rajendra Mane College of Engineering and Technology
"Suryodaya College of Engineering and Technology, Nagpur"
"JSPM's Bhivarabai Sawant Institute of Technology and Research for Women, Satara"
"Rajiv Gandhi College of Engineering, Parner"
"Rajaram Shinde College of Engineering, Chiplun"
"Manav School of Engineering and Technology, Akola"
"Shri Tulja Bhavani College of Engineering, Osmanabad"
"VPMs Maharshi Parshuram College of Engineering, Ratnagiri"
DMIETR Wardha - Datta Meghe Institute of Engineering Technology and Research
"Shri Someshwar Shikshan Prasarak Mandal's Sharadchandra Pawar College of Engineering and Technology, Someshwarnagar"
"Ideal Institute of Technology, Wada"
"Brahma Valley College of Engineering and Research Institute, Nashik"
"Loknete Gopinathji Munde Institute of Engineering Education and Research, Nashik"
"BR Harne College of Engineering and Technology, Thane"
"Khurana Sawant Institute of Engineering and Technology, Hingoli"
"Manoharbhai Patel Institute of Engineering and Technology, Shahapur Bhandara"
"Institute of Knowledge College of Engineering, Pune"
"Sant Gajanan Maharaj College of Engineering, Mahagaon"
"Sahakar Maharshi Shankarrao Mohite-Patil Institute of Technology and Research, Solapur"
"Gangamai College of Engineering, Dhule"
"GV Acharya Institute of Engineering and Technology, Raigad"
SSPACE Wardha - Shri Shankarprasad Agnihotri College of Engineering
"International Centre of Excellence in Engineering and Management, Aurangabad"
"Hi-Tech Institute of Technology, Aurangabad"
"Matsyodari Shikshan Sanstha's College of Engineering and Technology, Jalna"
