"Atharva College of Engineering, Malad"
"Navsahyadri Group of Institutes, Pune"
"Shah and Anchor Kutchhi Engineering College, Mumbai"
"Sipna College of Engineering and Technology, Amravati"
"Everest College of Engineering and Technology, Aurangabad"
"Marathwada Mitra Mandal's Institute of Technology, Pune"
"Jayawantrao Sawant College of Engineering, Pune"
RGIT Mumbai - MCTs Rajiv Gandhi Institute of Technology
"CSMSS CHH Shahu College of Engineering, Aurangabad"
SKNCOE Vadgaon - Smt Kashibai Navale College of Engineering
"Abha Gaikwad-Patil College of Engineering, Nagpur"
"Abhinav Education Society's College of Engineering and Technology, Wadwadi"
"Bharati Vidyapeeth's College of Engineering, Kolhapur"
APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research
DIEMS Aurangabad - Deogiri Institute of Engineering and Management Studies
MESCOE Pune - Modern Education Society's College of Engineering
"Sanjay Ghodawat University, Kolhapur"
"Dr DY Patil Institute of Engineering Management and Research, Pune"
"GS Mandal's Marathwada Institute of Technology, Aurangabad"
CSMIT Panvel - Chhatrapati Shivaji Maharaj Institute of Technology
MMCOE Pune - Marathwada Mitra Mandal's College of Engineering
SRCOE Pune - Shree Ramchandra College of Engineering
"Smt Indira Gandhi College of Engineering, Navi Mumbai"
"Lokmanya Tilak College of Engineering, Navi Mumbai"
"Rizvi College of Engineering, Bandra"
"GH Raisoni Institute of Engineering and Management, Jalgaon"
"RH Sapat College of Engineering, Management Studies and Research, Nashik"
PESCOE Aurangabad - PES College of Engineering
"SKN Sinhgad College of Engineering, Korti"
"Sinhgad Academy of Engineering, Kondhwa"
