"Theem College of Engineering, Thane"
SIEM Nashik - Sandip Institute of Engineering and Management
"Dr Babasaheb Ambedkar College of Engineering and Research, Nagpur"
"Shivajirao S Jondhle College of Engineering and Technology, Thane"
"Matoshri Pratishthans Group of Institutions, Nanded"
"Sharad Institute of Technology, College of Engineering, Yadrav"
"Shri Jaykumar Rawal Institute of Technology, Dondaicha"
"Shri Shivaji Vidya Prasarak Sanstha's Bapusaheb Shivajirao Deore College of Engineering, Dhule"
"Aditya Engineering College, Beed"
"Bharat Ratna Indira Gandhi College of Engineering, Solapur"
"College of Engineering and Technology, Akola"
"DY Patil Education Society's DY Patil Technical Campus, Kolhapur"
"Padmabhushan Vasantdada Patil Pratishthan's College of Engineering, Mumbai"
ICEM Pune - Indira College of Engineering and Management
TGPCET Nagpur - Tulsiramji Gaikwad Patil College of Engineering and Technology
"Trinity College of Engineering and Research, Pune"
"Shram Sadhana Bombay Trust's College of Engineering and Technology, Jalgaon"
"Siddhant College of Engineering, Pune"
NKOCET Solapur - Nagesh Karajgi Orchid College of Engineering and Technology
"Trinity Academy of Engineering, Pune"
SBJITMR Nagpur - SB Jain Institute of Technology Management and Research
"Nagnathappa Halge College of Engineering, Beed"
"College of Engineering, Pandharpur"
"Shreeyash College of Engineering and Technology, Aurangabad"
"Sanjay Bhokare Group of Institutes, Miraj"
"Bharat College of Engineering, Thane"
"Alard College of Engineering and Management, Pune"
"Prof Ram Meghe Institute of Technology and Research, Badnera"
"Jawahar Education Society's AC Patil College of Engineering, Navi Mumbai"
"SKN Sinhgad Institute of Technology and Science, Lonavala"
