"PDEA's College of Engineering, Pune"
JCOE Kuran - Jaihind College of Engineering
"Sahyadri Valley College of Engineering and Technology, Pune"
NIT Nagpur - Nagpur Institute of Technology
"Khandesh College Education Society's College of Engineering and Management, Jalgaon"
"Late GN Sapkal College of Engineering, Nashik"
"Pune Vidhyarthi Griha's College of Engineering, Nashik"
"Dr Sau Kamaltai Gawai Institute of Engineering and Technology, Amravati"
GNIET Nagpur - Guru Nanak Institute of Engineering and Technology
"Babasaheb Naik College of Engineering, Yavatmal"
"Arvind Gavali College of Engineering, Satara"
"GH Raisoni College of Engineering and Management, Ahmednagar"
"Padmashri Dr VB Kolte College of Engineering, Malkapur"
"SNJB's Late Sau Kantabai Bhavarlalji Jain College of Engineering, Nashik"
"Genba Sopanrao Moze College of Engineering, Balewadi"
SBPCOE Pune - SB Patil College of Engineering
"Dr Rajendra Gode Institute of Technology and Research, Amravati"
KITS Nagpur - Kavikulguru Institute of Technology and Science
"Madhukarrao Pandav College of Engineering, Bhandara"
"Deogiri Technical Campus for Engineering and Management Studies, Aurangabad"
RGCER Nagpur - Rajiv Gandhi College of Engineering and Research
"Dr Daulatrao Aher College of Engineering, Karad"
"Sanjeevan Engineering and Technology Institute, Kolhapur"
"NB Navale Sinhgad College of Engineering, Solapur"
"SND College of Engineering and Research Centre, Nashik"
"Maulana Mukhtar Ahmad Nadvi Technical Campus, Nashik"
Cummins College of Engineering for Women Nagpur - Maharshi Karve Stree Shikshan Samstha Cummins College of Engineering for Women
"Jaywant College of Engineering and Polytechnic, Sangli"
"Keystone School of Engineering, Pune"
"AG Patil Institute of Technology, Solapur"
